# Virtual base-station L1/L5 carrier data used to document and test the file reader.
# Replace the ECEF coordinate and epochs with measurements from the real base.
# ECEF -2418232.797 5386059.691 2405059.462
# Columns: gpst_seconds,satellite,frequency_hz,carrier_cycles,carrier_std_cycles,loss_of_lock
1657065600.000,G01,1575420000,110234567.125,0.010,0
1657065600.000,G03,1575420000,108345678.250,0.012,0
1657065600.000,G08,1575420000,112456789.375,0.009,0
1657065600.000,G14,1575420000,109567890.500,0.011,0
1657065600.000,G01,1176450000,82345678.125,0.012,0
1657065600.000,G03,1176450000,80654321.250,0.014,0
1657065600.000,G08,1176450000,84123456.375,0.011,0
1657065600.000,G14,1176450000,81765432.500,0.013,0
1657065600.100,G01,1575420000,110234566.610,0.010,0
1657065600.100,G03,1575420000,108345677.725,0.012,0
1657065600.100,G08,1575420000,112456788.840,0.009,0
1657065600.100,G14,1575420000,109567889.955,0.011,0
1657065600.100,G01,1176450000,82345677.725,0.012,0
1657065600.100,G03,1176450000,80654320.840,0.014,0
1657065600.100,G08,1176450000,84123455.955,0.011,0
1657065600.100,G14,1176450000,81765432.070,0.013,0
